Date : 2023-06-22 21:33:30
Directory : /Users/kostya/FlutterDev/Apps/to_do_yandex
Total : 72 files,  4003 codes, 178 comments, 428 blanks, all 4609 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         35 |      3,418 |         41 |        341 |      3,800 |
| XML        |         20 |        234 |         48 |         22 |        304 |
| JSON       |          4 |        177 |          0 |          3 |        180 |
| Gradle     |          3 |         89 |          6 |         22 |        117 |
| YAML       |          3 |         40 |         81 |         17 |        138 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         17 |          0 |         14 |         31 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         72 |      4,003 |        178 |        428 |      4,609 |
| . (Files)                                                                                                                 |          4 |         54 |         81 |         29 |        164 |
| android                                                                                                                   |         12 |        156 |         52 |         33 |        241 |
| android (Files)                                                                                                           |          3 |         38 |          0 |         10 |         48 |
| android/app                                                                                                               |          8 |        113 |         52 |         22 |        187 |
| android/app (Files)                                                                                                       |          1 |         54 |          6 |         13 |         73 |
| android/app/src                                                                                                           |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                      |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                                              |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                                  |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                    |          7 |         21 |          0 |          7 |         28 |
| assets/icons                                                                                                              |          7 |         21 |          0 |          7 |         28 |
| ios                                                                                                                       |         12 |        322 |          4 |         17 |        343 |
| ios/Flutter                                                                                                               |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                |          8 |        273 |          2 |         10 |        285 |
| ios/Runner (Files)                                                                                                        |          3 |         64 |          0 |          4 |         68 |
| ios/Runner.xcodeproj                                                                                                      |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                     |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                    |          1 |          8 |          0 |          1 |          9 |
